2;H=54;T=36;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
110;H=95;T=23;Hs=54.72034;sp=2;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=109; tx_frequency=868000000
114;H=95;T=23;Hs=53.72283;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=113; tx_frequency=868000000
118;H=95;T=23;Hs=54.11472;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=117; tx_frequency=868000000
122;H=95;T=22;Hs=54.11472;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=121; tx_frequency=868000000
126;H=95;T=22;Hs=54.11472;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=125; tx_frequency=868000000
130;H=95;T=22;Hs=53.93659;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=129; tx_frequency=868000000
134;H=95;T=22;Hs=54.75597;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=133; tx_frequency=868000000
138;H=94;T=21;Hs=54.72034;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=137; tx_frequency=868000000
142;H=94;T=21;Hs=54.22159;sp=2;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=141; tx_frequency=868000000
146;H=95;T=22;Hs=53.72283;sp=2;sf=12;rx_timestamp=396566314; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=145; tx_frequency=868000000
150;H=49;T=35;Hs=55.04097;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=149; tx_frequency=868000000
154;H=61;T=31;Hs=54.47097;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=153; tx_frequency=868000000
158;H=60;T=31;Hs=53.97221;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=157; tx_frequency=868000000
162;H=57;T=33;Hs=54.75597;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=161; tx_frequency=868000000
166;H=56;T=33;Hs=54.72034;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=165; tx_frequency=868000000
170;H=46;T=38;Hs=55.14785;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=169; tx_frequency=868000000
174;H=47;T=38;Hs=55.18347;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=173; tx_frequency=868000000
178;H=52;T=36;Hs=55.2191;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=177; tx_frequency=868000000
182;H=51;T=36;Hs=55.11222;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=181; tx_frequency=868000000
186;H=49;T=36;Hs=55.18347;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=185; tx_frequency=868000000
190;H=50;T=34;Hs=55.96723;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=189; tx_frequency=868000000
194;H=40;T=39;Hs=55.57535;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=193; tx_frequency=868000000
198;H=52;T=34;Hs=55.43285;sp=2;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=197; tx_frequency=868000000
202;H=46;T=35;Hs=56.71535;sp=2;sf=12;rx_timestamp=3101396769; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=201; tx_frequency=868000000
206;H=51;T=34;Hs=55.46847;sp=2;sf=12;rx_timestamp=3101396769; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=205; tx_frequency=868000000
210;H=54;T=32;Hs=55.14785;sp=2;sf=12;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=209; tx_frequency=868000000
214;H=63;T=29;Hs=54.7916;sp=2;sf=12;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=213; tx_frequency=868000000
218;H=77;T=26;Hs=55.18347;sp=2;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=217; tx_frequency=868000000
222;H=73;T=25;Hs=55.14785;sp=2;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=221; tx_frequency=868000000
226;H=78;T=24;Hs=54.29284;sp=2;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=225; tx_frequency=868000000
230;H=85;T=24;Hs=54.29284;sp=2;sf=12;rx_timestamp=2148897881; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=229; tx_frequency=868000000
234;H=90;T=24;Hs=54.07909;sp=2;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=233; tx_frequency=868000000
238;H=94;T=24;Hs=54.72034;sp=2;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=237; tx_frequency=868000000
242;H=95;T=24;Hs=54.07909;sp=2;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=241; tx_frequency=868000000
246;H=58;T=31;Hs=54.11472;sp=2;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=245; tx_frequency=868000000
