4;H=51;T=41;Hs=0.0;sp=20;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=88; tx_counter=3; tx_frequency=868000000
8;H=69;T=35;Hs=67.40293;sp=20;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=7; tx_frequency=868000000
12;H=56;T=34;Hs=62.70039;sp=20;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=11; tx_frequency=868000000
16;H=51;T=36;Hs=62.09476;sp=20;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=15; tx_frequency=868000000
20;H=43;T=38;Hs=62.09476;sp=20;sf=12;rx_timestamp=1180340355; rssi=-125; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=19; tx_frequency=868000000
24;H=41;T=40;Hs=62.09476;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=23; tx_frequency=868000000
28;H=43;T=38;Hs=62.55789;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=27; tx_frequency=868000000
32;H=41;T=40;Hs=62.05914;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=31; tx_frequency=868000000
36;H=38;T=41;Hs=61.98789;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=35; tx_frequency=868000000
40;H=41;T=39;Hs=62.16602;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=39; tx_frequency=868000000
44;H=36;T=40;Hs=60.84788;sp=20;sf=12;rx_timestamp=1955564816; rssi=-127; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=43; tx_frequency=868000000
48;H=39;T=40;Hs=60.95476;sp=20;sf=12;rx_timestamp=1169235050; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=47; tx_frequency=868000000
52;H=46;T=37;Hs=60.38476;sp=20;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=51; tx_frequency=868000000
56;H=46;T=37;Hs=60.84788;sp=20;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=55; tx_frequency=868000000
60;H=56;T=32;Hs=60.13538;sp=20;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=59; tx_frequency=868000000
64;H=64;T=29;Hs=58.85287;sp=20;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=63; tx_frequency=868000000
68;H=74;T=27;Hs=56.92911;sp=20;sf=12;rx_timestamp=2165083743; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=67; tx_frequency=868000000
72;H=77;T=27;Hs=56.85785;sp=20;sf=12;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=71; tx_frequency=868000000
76;H=78;T=27;Hs=58.99537;sp=20;sf=12;rx_timestamp=3867283106; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=75; tx_frequency=868000000
80;H=59;T=34;Hs=56.71535;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=79; tx_frequency=868000000
84;H=50;T=35;Hs=56.39472;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=83; tx_frequency=868000000
88;H=52;T=33;Hs=56.2166;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=87; tx_frequency=868000000
92;H=71;T=26;Hs=55.7891;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=91; tx_frequency=868000000
96;H=80;T=24;Hs=55.61098;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=95; tx_frequency=868000000
100;H=87;T=24;Hs=54.47097;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=99; tx_frequency=868000000
104;H=91;T=23;Hs=54.32847;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=103; tx_frequency=868000000
108;H=95;T=23;Hs=54.29284;sp=20;sf=12;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=107; tx_frequency=868000000
112;H=95;T=23;Hs=54.72034;sp=20;sf=12;rx_timestamp=3180831521; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=111; tx_frequency=868000000
116;H=95;T=23;Hs=53.72283;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=115; tx_frequency=868000000
120;H=95;T=23;Hs=54.11472;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=119; tx_frequency=868000000
124;H=95;T=22;Hs=54.11472;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=123; tx_frequency=868000000
128;H=95;T=22;Hs=54.11472;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=127; tx_frequency=868000000
132;H=95;T=22;Hs=53.93659;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=131; tx_frequency=868000000
136;H=95;T=22;Hs=54.75597;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=135; tx_frequency=868000000
140;H=94;T=21;Hs=54.72034;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=139; tx_frequency=868000000
144;H=94;T=21;Hs=54.22159;sp=20;sf=12;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=143; tx_frequency=868000000
148;H=95;T=22;Hs=53.72283;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=147; tx_frequency=868000000
152;H=49;T=35;Hs=55.04097;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=151; tx_frequency=868000000
156;H=61;T=31;Hs=54.47097;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=155; tx_frequency=868000000
160;H=60;T=31;Hs=53.97221;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=159; tx_frequency=868000000
164;H=57;T=33;Hs=54.75597;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=163; tx_frequency=868000000
168;H=56;T=33;Hs=54.72034;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=167; tx_frequency=868000000
172;H=46;T=38;Hs=55.14785;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=171; tx_frequency=868000000
176;H=47;T=38;Hs=55.18347;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=175; tx_frequency=868000000
180;H=52;T=36;Hs=55.2191;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=179; tx_frequency=868000000
184;H=51;T=36;Hs=55.11222;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=183; tx_frequency=868000000
188;H=49;T=36;Hs=55.18347;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=187; tx_frequency=868000000
192;H=50;T=34;Hs=55.96723;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=191; tx_frequency=868000000
196;H=40;T=39;Hs=55.57535;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=195; tx_frequency=868000000
200;H=52;T=34;Hs=55.43285;sp=20;sf=12;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=199; tx_frequency=868000000
204;H=46;T=35;Hs=56.71535;sp=20;sf=12;rx_timestamp=3101396769; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=203; tx_frequency=868000000
208;H=51;T=34;Hs=55.46847;sp=20;sf=12;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=207; tx_frequency=868000000
212;H=54;T=32;Hs=55.14785;sp=20;sf=12;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=211; tx_frequency=868000000
216;H=63;T=29;Hs=54.7916;sp=20;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=93; tx_counter=215; tx_frequency=868000000
220;H=77;T=26;Hs=55.18347;sp=20;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=219; tx_frequency=868000000
224;H=73;T=25;Hs=55.14785;sp=20;sf=12;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=223; tx_frequency=868000000
228;H=78;T=24;Hs=54.29284;sp=20;sf=12;rx_timestamp=2148897881; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=227; tx_frequency=868000000
232;H=85;T=24;Hs=54.29284;sp=20;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=231; tx_frequency=868000000
236;H=90;T=24;Hs=54.07909;sp=20;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=235; tx_frequency=868000000
240;H=94;T=24;Hs=54.72034;sp=20;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=239; tx_frequency=868000000
244;H=95;T=24;Hs=54.07909;sp=20;sf=12;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=7; tx_trials=0; tx_power=20; tx_time_on_air=98; tx_counter=243; tx_frequency=868000000
