0000;74;H=78;T=27;Hs=58.99537;sp=2;sf=12;lost_time=0;rx_timestamp=473342596; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;78;H=59;T=34;Hs=56.71535;sp=2;sf=12;lost_time=0;rx_timestamp=1674894842; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;82;H=50;T=35;Hs=56.39472;sp=2;sf=12;lost_time=0;rx_timestamp=2876447779; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;86;H=52;T=33;Hs=56.2166;sp=2;sf=12;lost_time=0;rx_timestamp=4077994237; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;90;H=71;T=26;Hs=55.7891;sp=2;sf=12;lost_time=0;rx_timestamp=984578932; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;94;H=80;T=24;Hs=55.61098;sp=2;sf=12;lost_time=0;rx_timestamp=2186145046; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;98;H=87;T=24;Hs=54.47097;sp=2;sf=12;lost_time=1;rx_timestamp=3387692897; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;102;H=91;T=23;Hs=54.32847;sp=2;sf=12;lost_time=0;rx_timestamp=294293961; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;106;H=95;T=23;Hs=54.29284;sp=2;sf=12;lost_time=0;rx_timestamp=1495845775; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;110;H=95;T=23;Hs=54.72034;sp=2;sf=12;lost_time=0;rx_timestamp=2697398633; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;114;H=95;T=23;Hs=53.72283;sp=2;sf=12;lost_time=0;rx_timestamp=3898952020; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
