0000;81;H=50;T=35;Hs=56.39472;sp=2;sf=7;lost_time=0;rx_timestamp=2574088367; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;85;H=52;T=33;Hs=56.2166;sp=2;sf=7;lost_time=0;rx_timestamp=3775636714; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;93;H=80;T=24;Hs=55.61098;sp=2;sf=7;lost_time=0;rx_timestamp=1883785750; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;97;H=87;T=24;Hs=54.47097;sp=2;sf=7;lost_time=0;rx_timestamp=3085335601; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;101;H=91;T=23;Hs=54.32847;sp=2;sf=7;lost_time=0;rx_timestamp=4286899410; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;105;H=95;T=23;Hs=54.29284;sp=2;sf=7;lost_time=1;rx_timestamp=1193489574; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;109;H=95;T=23;Hs=54.72034;sp=2;sf=7;lost_time=0;rx_timestamp=2395037137; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;113;H=95;T=23;Hs=53.72283;sp=2;sf=7;lost_time=0;rx_timestamp=3596594141; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;117;H=95;T=23;Hs=54.11472;sp=2;sf=7;lost_time=0;rx_timestamp=503179186; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;121;H=95;T=22;Hs=54.11472;sp=2;sf=7;lost_time=0;rx_timestamp=1704729710; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;125;H=95;T=22;Hs=54.11472;sp=2;sf=7;lost_time=0;rx_timestamp=2906286969; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;129;H=95;T=22;Hs=53.93659;sp=2;sf=7;lost_time=0;rx_timestamp=4107842394; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;133;H=95;T=22;Hs=54.75597;sp=2;sf=7;lost_time=0;rx_timestamp=1014432501; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;137;H=94;T=21;Hs=54.72034;sp=2;sf=7;lost_time=0;rx_timestamp=2215992532; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;141;H=94;T=21;Hs=54.22159;sp=2;sf=7;lost_time=1;rx_timestamp=3417548322; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;145;H=95;T=22;Hs=53.72283;sp=2;sf=7;lost_time=0;rx_timestamp=324136989; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;153;H=61;T=31;Hs=54.47097;sp=2;sf=7;lost_time=0;rx_timestamp=1307183111; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;157;H=60;T=31;Hs=53.97221;sp=2;sf=7;lost_time=0;rx_timestamp=2508764151; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;161;H=57;T=33;Hs=54.75597;sp=2;sf=7;lost_time=0;rx_timestamp=3710322324; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;165;H=56;T=33;Hs=54.72034;sp=2;sf=7;lost_time=0;rx_timestamp=616905820; rssi=-106; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;169;H=46;T=38;Hs=55.14785;sp=2;sf=7;lost_time=0;rx_timestamp=1820543041; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;173;H=47;T=38;Hs=55.18347;sp=2;sf=7;lost_time=0;rx_timestamp=3022097935; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;177;H=52;T=36;Hs=55.2191;sp=2;sf=7;lost_time=0;rx_timestamp=4242356406; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;181;H=51;T=36;Hs=55.11222;sp=2;sf=7;lost_time=0;rx_timestamp=1148947705; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;185;H=49;T=36;Hs=55.18347;sp=2;sf=7;lost_time=0;rx_timestamp=2351606907; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;189;H=50;T=34;Hs=55.96723;sp=2;sf=7;lost_time=0;rx_timestamp=3553159419; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;193;H=40;T=39;Hs=55.57535;sp=2;sf=7;lost_time=0;rx_timestamp=459752038; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
