2024-07-16 07:23:02.222172;3;H=94;T=23;Hs=0.0;sp=20;sf=7;lost_time=0;rx_timestamp=84462230; rssi=-78; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;3;H=88;T=24;Hs=0.0;sp=20;sf=7;lost_time=0;rx_timestamp=876348920; rssi=-67; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;3;H=91;T=23;Hs=0.0;sp=20;sf=7;lost_time=0;rx_timestamp=69508731; rssi=-77; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;3;H=51;T=41;Hs=0.0;sp=20;sf=7;lost_time=0;rx_timestamp=615653746; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;7;H=69;T=35;Hs=67.40293;sp=20;sf=7;lost_time=1;rx_timestamp=1817207388; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;11;H=56;T=34;Hs=62.70039;sp=20;sf=7;lost_time=0;rx_timestamp=3018749620; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;15;H=51;T=36;Hs=62.09476;sp=20;sf=7;lost_time=0;rx_timestamp=4220298657; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-16 11:52:47.883220;19;H=43;T=38;Hs=62.09476;sp=20;sf=7;lost_time=0;rx_timestamp=1126890400; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;23;H=41;T=40;Hs=62.09476;sp=20;sf=7;lost_time=0;rx_timestamp=2328443631; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;27;H=43;T=38;Hs=62.55789;sp=20;sf=7;lost_time=0;rx_timestamp=3529995547; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;31;H=41;T=40;Hs=62.05914;sp=20;sf=7;lost_time=0;rx_timestamp=436913609; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
