2024-07-16 10:57:45.834550;8;H=69;T=35;Hs=67.40293;sp=20;sf=12;lost_time=0;rx_timestamp=2119563110; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;33;H=38;T=41;Hs=61.98789;sp=2;sf=7;lost_time=1;rx_timestamp=1038218615; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;34;H=38;T=41;Hs=61.98789;sp=2;sf=12;lost_time=0;rx_timestamp=1340578065; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;35;H=38;T=41;Hs=61.98789;sp=20;sf=7;lost_time=0;rx_timestamp=1638466689; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;36;H=38;T=41;Hs=61.98789;sp=20;sf=12;lost_time=0;rx_timestamp=1940826733; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;37;H=41;T=39;Hs=62.16602;sp=2;sf=7;lost_time=0;rx_timestamp=2239772308; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;38;H=41;T=39;Hs=62.16602;sp=2;sf=12;lost_time=0;rx_timestamp=2542131340; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;39;H=41;T=39;Hs=62.16602;sp=20;sf=7;lost_time=0;rx_timestamp=2840017018; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;40;H=41;T=39;Hs=62.16602;sp=20;sf=12;lost_time=0;rx_timestamp=3142375447; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;41;H=36;T=40;Hs=60.84788;sp=2;sf=7;lost_time=0;rx_timestamp=3441319910; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;42;H=36;T=40;Hs=60.84788;sp=2;sf=12;lost_time=0;rx_timestamp=3743679206; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;43;H=36;T=40;Hs=60.84788;sp=20;sf=7;lost_time=0;rx_timestamp=4041566507; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;44;H=36;T=40;Hs=60.84788;sp=20;sf=12;lost_time=0;rx_timestamp=48956326; rssi=-92; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;45;H=39;T=40;Hs=60.95476;sp=2;sf=7;lost_time=0;rx_timestamp=347904222; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;46;H=39;T=40;Hs=60.95476;sp=2;sf=12;lost_time=0;rx_timestamp=650263661; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;47;H=39;T=40;Hs=60.95476;sp=20;sf=7;lost_time=0;rx_timestamp=948150330; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;48;H=39;T=40;Hs=60.95476;sp=20;sf=12;lost_time=1;rx_timestamp=1250510134; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;49;H=46;T=37;Hs=60.38476;sp=2;sf=7;lost_time=0;rx_timestamp=1551548371; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;50;H=46;T=37;Hs=60.38476;sp=2;sf=12;lost_time=0;rx_timestamp=1853906221; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;51;H=46;T=37;Hs=60.38476;sp=20;sf=7;lost_time=0;rx_timestamp=2151791418; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;52;H=46;T=37;Hs=60.38476;sp=20;sf=12;lost_time=0;rx_timestamp=2454149271; rssi=-94; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;53;H=46;T=37;Hs=60.84788;sp=2;sf=7;lost_time=0;rx_timestamp=2753095383; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;54;H=46;T=37;Hs=60.84788;sp=2;sf=12;lost_time=0;rx_timestamp=3055456375; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;55;H=46;T=37;Hs=60.84788;sp=20;sf=7;lost_time=1;rx_timestamp=3353341972; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;56;H=46;T=37;Hs=60.84788;sp=20;sf=12;lost_time=0;rx_timestamp=3655700540; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;57;H=56;T=32;Hs=60.13538;sp=2;sf=7;lost_time=0;rx_timestamp=3954648443; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;58;H=56;T=32;Hs=60.13538;sp=2;sf=12;lost_time=0;rx_timestamp=4257006732; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;59;H=56;T=32;Hs=60.13538;sp=20;sf=7;lost_time=0;rx_timestamp=259926577; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;60;H=56;T=32;Hs=60.13538;sp=20;sf=12;lost_time=0;rx_timestamp=562286902; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;61;H=64;T=29;Hs=58.85287;sp=2;sf=7;lost_time=0;rx_timestamp=861232934; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;62;H=64;T=29;Hs=58.85287;sp=2;sf=12;lost_time=1;rx_timestamp=1163590539; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
