2024-07-16 10:57:45.834550;8;H=69;T=35;Hs=67.40293;sp=20;sf=12;lost_time=0;rx_timestamp=2119563110; rssi=-93; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;112;H=95;T=23;Hs=54.72034;sp=20;sf=12;lost_time=1;rx_timestamp=3297642778; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;116;H=95;T=23;Hs=53.72283;sp=20;sf=12;lost_time=0;rx_timestamp=204231760; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;120;H=95;T=23;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=1405781412; rssi=-91; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;124;H=95;T=22;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=2607336940; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;128;H=95;T=22;Hs=54.11472;sp=20;sf=12;lost_time=0;rx_timestamp=3808893518; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;132;H=95;T=22;Hs=53.93659;sp=20;sf=12;lost_time=0;rx_timestamp=715482328; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;136;H=95;T=22;Hs=54.75597;sp=20;sf=12;lost_time=0;rx_timestamp=1917043444; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;140;H=94;T=21;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=3118597938; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;144;H=94;T=21;Hs=54.22159;sp=20;sf=12;lost_time=0;rx_timestamp=25186733; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;148;H=95;T=22;Hs=53.72283;sp=20;sf=12;lost_time=1;rx_timestamp=1226814292; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;152;H=49;T=35;Hs=55.04097;sp=20;sf=12;lost_time=1;rx_timestamp=1006158472; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;156;H=61;T=31;Hs=54.47097;sp=20;sf=12;lost_time=0;rx_timestamp=2209788131; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;160;H=60;T=31;Hs=53.97221;sp=20;sf=12;lost_time=0;rx_timestamp=3411375035; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;164;H=57;T=33;Hs=54.75597;sp=20;sf=12;lost_time=0;rx_timestamp=317958290; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;168;H=56;T=33;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=1519517642; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;172;H=46;T=38;Hs=55.14785;sp=20;sf=12;lost_time=0;rx_timestamp=2723149463; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;176;H=47;T=38;Hs=55.18347;sp=20;sf=12;lost_time=0;rx_timestamp=3924709338; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;180;H=52;T=36;Hs=55.2191;sp=20;sf=12;lost_time=0;rx_timestamp=849998897; rssi=-93; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;184;H=51;T=36;Hs=55.11222;sp=20;sf=12;lost_time=0;rx_timestamp=2051565655; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;188;H=49;T=36;Hs=55.18347;sp=20;sf=12;lost_time=1;rx_timestamp=3254212198; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;192;H=50;T=34;Hs=55.96723;sp=20;sf=12;lost_time=0;rx_timestamp=160802328; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;196;H=40;T=39;Hs=55.57535;sp=20;sf=12;lost_time=1;rx_timestamp=1362356861; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;200;H=52;T=34;Hs=55.43285;sp=20;sf=12;lost_time=0;rx_timestamp=2563909917; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;204;H=46;T=35;Hs=56.71535;sp=20;sf=12;lost_time=0;rx_timestamp=3765465100; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;208;H=51;T=34;Hs=55.46847;sp=20;sf=12;lost_time=0;rx_timestamp=672050790; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;212;H=54;T=32;Hs=55.14785;sp=20;sf=12;lost_time=0;rx_timestamp=1873603571; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;216;H=63;T=29;Hs=54.7916;sp=20;sf=12;lost_time=0;rx_timestamp=3075160923; rssi=-93; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;220;H=77;T=26;Hs=55.18347;sp=20;sf=12;lost_time=0;rx_timestamp=4276725056; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;224;H=73;T=25;Hs=55.14785;sp=20;sf=12;lost_time=1;rx_timestamp=1183315301; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;228;H=78;T=24;Hs=54.29284;sp=20;sf=12;lost_time=0;rx_timestamp=2384870770; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;232;H=85;T=24;Hs=54.29284;sp=20;sf=12;lost_time=0;rx_timestamp=3586489588; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;236;H=90;T=24;Hs=54.07909;sp=20;sf=12;lost_time=0;rx_timestamp=493083093; rssi=-92; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;240;H=94;T=24;Hs=54.72034;sp=20;sf=12;lost_time=0;rx_timestamp=1694636938; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;244;H=95;T=24;Hs=54.07909;sp=20;sf=12;lost_time=0;rx_timestamp=2896191085; rssi=-92; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
