2024-07-06 11:29:30.241582;195;H=67;T=29;Hs=55.68223;sp=20;sf=7;rx_timestamp=2372128969; rssi=-121; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:45:15.699274;239;H=70;T=29;Hs=56.28786;sp=20;sf=7;rx_timestamp=3317264960; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:46:43.226415;243;H=65;T=30;Hs=56.00285;sp=20;sf=7;rx_timestamp=3404896862; rssi=-121; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;247;H=65;T=30;Hs=56.18097;sp=20;sf=7;rx_timestamp=3490434780; rssi=-123; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:59:37.190169;279;H=65;T=30;Hs=57.10723;sp=20;sf=7;rx_timestamp=4178961138; rssi=-119; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:03:55.750054;291;H=69;T=29;Hs=57.03598;sp=20;sf=7;rx_timestamp=142701607; rssi=-122; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:05:22.735914;295;H=68;T=29;Hs=57.00036;sp=20;sf=7;rx_timestamp=228233525; rssi=-123; snr=-9.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:08:12.735885;303;H=67;T=29;Hs=56.96473;sp=20;sf=7;rx_timestamp=399309363; rssi=-120; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:21:10.302177;339;H=71;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1177563751; rssi=-118; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:22:38.214504;343;H=69;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1265196690; rssi=-124; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:24:03.753658;347;H=68;T=29;Hs=57.35661;sp=20;sf=7;rx_timestamp=1350735625; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:25:29.685148;351;H=71;T=29;Hs=57.14286;sp=20;sf=7;rx_timestamp=1436267559; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:26:55.219533;355;H=71;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1521807492; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:28:20.757329;359;H=70;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1607343417; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:29:47.696973;363;H=71;T=29;Hs=57.49911;sp=20;sf=7;rx_timestamp=1694978327; rssi=-78; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:31:13.327024;367;H=71;T=29;Hs=57.46349;sp=20;sf=7;rx_timestamp=1780516258; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:33:09.767912;371;H=71;T=28;Hs=60.91913;sp=20;sf=7;rx_timestamp=1896242143; rssi=-57; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:34:34.904180;375;H=71;T=28;Hs=44.7809;sp=20;sf=7;rx_timestamp=1981775001; rssi=-62; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:36:00.744588;379;H=79;T=28;Hs=47.80905;sp=20;sf=7;rx_timestamp=2067315942; rssi=-64; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:37:26.265744;383;H=84;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=2152844656; rssi=-76; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:38:51.377288;387;H=89;T=29;Hs=42.75027;sp=20;sf=7;rx_timestamp=2238400740; rssi=-71; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:40:16.768545;391;H=72;T=29;Hs=42.03776;sp=20;sf=7;rx_timestamp=2323938634; rssi=-83; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:41:42.698392;395;H=71;T=28;Hs=40.79088;sp=20;sf=7;rx_timestamp=2409472526; rssi=-61; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 12:43:08.230850;399;H=72;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=2495004239; rssi=-38; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:00:08.743544;1;H=68;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3515607386; rssi=-31; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:00:32.695675;3;H=69;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3539021311; rssi=-30; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:01:02.741144;1;H=64;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3569586765; rssi=-34; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 13:01:26.236032;3;H=64;T=28;Hs=0.0;sp=20;sf=7;rx_timestamp=3592996691; rssi=-44; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
