0000;52;H=86;T=26;Hs=52.97471;sp=20;sf=12;rx_timestamp=31159417; rssi=-109; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;56;H=83;T=26;Hs=52.86783;sp=20;sf=12;rx_timestamp=116684679; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 10:51:11.222562;88;H=76;T=27;Hs=52.58283;sp=20;sf=12;rx_timestamp=73136508; rssi=-109; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;92;H=76;T=27;Hs=52.29783;sp=20;sf=12;rx_timestamp=158661537; rssi=-69; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;96;H=74;T=27;Hs=52.44033;sp=20;sf=12;rx_timestamp=244227528; rssi=-71; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;100;H=78;T=27;Hs=52.4047;sp=20;sf=12;rx_timestamp=329751499; rssi=-70; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 10:59:44.150791;112;H=75;T=27;Hs=52.44033;sp=20;sf=12;rx_timestamp=586335289; rssi=-79; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:01:09.617604;116;H=78;T=28;Hs=52.4047;sp=20;sf=12;rx_timestamp=671866136; rssi=-76; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;120;H=73;T=28;Hs=52.29783;sp=20;sf=12;rx_timestamp=757393055; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;124;H=76;T=28;Hs=52.93908;sp=20;sf=12;rx_timestamp=845011901; rssi=-110; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;128;H=75;T=28;Hs=52.61846;sp=20;sf=12;rx_timestamp=930550759; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:06:56.674009;132;H=73;T=28;Hs=52.36907;sp=20;sf=12;rx_timestamp=1018177617; rssi=-123; snr=-6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:08:21.716149;136;H=73;T=28;Hs=55.25472;sp=20;sf=12;rx_timestamp=1103722486; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-06 11:09:47.666964;140;H=75;T=28;Hs=54.82722;sp=20;sf=12;rx_timestamp=1189272359; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;144;H=74;T=29;Hs=54.9341;sp=20;sf=12;rx_timestamp=1274804182; rssi=-110; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
