2;H=85;T=26;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1647; tx_counter=2; tx_frequency=868000000
114;H=78;T=28;Hs=52.4047;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=114; tx_frequency=868000000
118;H=73;T=28;Hs=52.29783;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=118; tx_frequency=868000000
122;H=76;T=28;Hs=52.93908;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=122; tx_frequency=868000000
126;H=75;T=28;Hs=52.61846;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=126; tx_frequency=868000000
130;H=73;T=28;Hs=52.36907;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=130; tx_frequency=868000000
134;H=73;T=28;Hs=55.25472;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=134; tx_frequency=868000000
138;H=75;T=28;Hs=54.82722;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=138; tx_frequency=868000000
142;H=74;T=29;Hs=54.9341;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=142; tx_frequency=868000000
146;H=75;T=29;Hs=54.86284;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=146; tx_frequency=868000000
150;H=71;T=29;Hs=55.2191;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=150; tx_frequency=868000000
154;H=72;T=29;Hs=55.11222;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=154; tx_frequency=868000000
158;H=72;T=29;Hs=55.3616;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=158; tx_frequency=868000000
162;H=72;T=29;Hs=55.43285;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=162; tx_frequency=868000000
166;H=72;T=29;Hs=55.43285;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=166; tx_frequency=868000000
170;H=71;T=29;Hs=55.25472;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=170; tx_frequency=868000000
174;H=72;T=29;Hs=55.07659;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=174; tx_frequency=868000000
178;H=71;T=29;Hs=55.25472;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=178; tx_frequency=868000000
182;H=69;T=29;Hs=55.2191;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=182; tx_frequency=868000000
186;H=69;T=29;Hs=55.29035;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=186; tx_frequency=868000000
190;H=70;T=29;Hs=55.25472;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=190; tx_frequency=868000000
194;H=67;T=29;Hs=55.68223;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=194; tx_frequency=868000000
198;H=71;T=29;Hs=55.6466;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1811; tx_counter=198; tx_frequency=868000000
202;H=70;T=29;Hs=55.29035;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=202; tx_frequency=868000000
206;H=70;T=29;Hs=55.46847;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=206; tx_frequency=868000000
210;H=70;T=29;Hs=55.61098;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=210; tx_frequency=868000000
214;H=71;T=29;Hs=56.03848;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=214; tx_frequency=868000000
218;H=69;T=29;Hs=55.82472;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=218; tx_frequency=868000000
222;H=70;T=29;Hs=55.89598;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=222; tx_frequency=868000000
226;H=70;T=29;Hs=56.00285;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=226; tx_frequency=868000000
230;H=68;T=29;Hs=56.32348;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=230; tx_frequency=868000000
234;H=69;T=29;Hs=56.57285;sp=2;sf=12;rx_timestamp=238980696; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=2; tx_time_on_air=1975; tx_counter=234; tx_frequency=868000000
