2;H=84;T=24;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
6;H=84;T=24;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=5; tx_frequency=868000000
10;H=85;T=24;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=9; tx_frequency=868000000
14;H=87;T=24;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=88; tx_counter=13; tx_frequency=868000000
18;H=88;T=23;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=88; tx_counter=17; tx_frequency=868000000
2;H=93;T=23;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
2;H=81;T=31;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=1; tx_frequency=868000000
6;H=93;T=31;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=5; tx_frequency=868000000
10;H=92;T=31;Hs=0.0;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=83; tx_counter=9; tx_frequency=868000000
14;H=95;T=31;Hs=49.80406;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=13; tx_frequency=868000000
18;H=72;T=32;Hs=50.69469;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=17; tx_frequency=868000000
22;H=69;T=32;Hs=50.58782;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=21; tx_frequency=868000000
26;H=67;T=33;Hs=50.58782;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=25; tx_frequency=868000000
30;H=53;T=37;Hs=50.58782;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=29; tx_frequency=868000000
34;H=47;T=38;Hs=50.30282;sp=2;sf=12;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=7; tx_trials=0; tx_power=2; tx_time_on_air=93; tx_counter=33; tx_frequency=868000000
