3;H=84;T=24;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=2; tx_frequency=868000000
7;H=84;T=24;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=6; tx_frequency=868000000
11;H=85;T=24;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=10; tx_frequency=868000000
15;H=87;T=24;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=14; tx_frequency=868000000
3;H=93;T=23;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=2; tx_frequency=868000000
3;H=81;T=31;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=2; tx_frequency=868000000
7;H=93;T=31;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=6; tx_frequency=868000000
11;H=92;T=31;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=10; tx_frequency=868000000
15;H=95;T=31;Hs=49.80406;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=14; tx_frequency=868000000
19;H=72;T=32;Hs=50.69469;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=18; tx_frequency=868000000
23;H=69;T=32;Hs=50.58782;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=22; tx_frequency=868000000
27;H=67;T=33;Hs=50.58782;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=26; tx_frequency=868000000
31;H=53;T=37;Hs=50.58782;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=30; tx_frequency=868000000
35;H=47;T=38;Hs=50.30282;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=34; tx_frequency=868000000
39;H=53;T=38;Hs=50.23157;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=38; tx_frequency=868000000
43;H=46;T=41;Hs=50.65907;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=42; tx_frequency=868000000
47;H=39;T=41;Hs=50.87282;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=46; tx_frequency=868000000
51;H=42;T=40;Hs=51.05094;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=50; tx_frequency=868000000
55;H=39;T=42;Hs=50.83719;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=54; tx_frequency=868000000
59;H=41;T=39;Hs=51.30032;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=58; tx_frequency=868000000
63;H=48;T=37;Hs=50.58782;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=62; tx_frequency=868000000
67;H=48;T=38;Hs=50.58782;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=66; tx_frequency=868000000
71;H=50;T=36;Hs=50.30282;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=70; tx_frequency=868000000
75;H=51;T=35;Hs=49.87531;sp=20;sf=7;rx_timestamp=1445350935; rssi=-121; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=74; tx_frequency=868000000
