3;H=51;T=41;Hs=0.0;sp=20;sf=7;rx_timestamp=0; rssi=0; snr=0.0; sfrx=0; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2139; tx_counter=2; tx_frequency=868000000
111;H=95;T=23;Hs=54.72034;sp=20;sf=7;rx_timestamp=2111252685; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=110; tx_frequency=868000000
115;H=95;T=23;Hs=53.72283;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=114; tx_frequency=868000000
119;H=95;T=23;Hs=54.11472;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=118; tx_frequency=868000000
123;H=95;T=22;Hs=54.11472;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=122; tx_frequency=868000000
127;H=95;T=22;Hs=54.11472;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=126; tx_frequency=868000000
131;H=95;T=22;Hs=53.93659;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=130; tx_frequency=868000000
135;H=95;T=22;Hs=54.75597;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=134; tx_frequency=868000000
139;H=94;T=21;Hs=54.72034;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=138; tx_frequency=868000000
143;H=94;T=21;Hs=54.22159;sp=20;sf=7;rx_timestamp=3803862183; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=142; tx_frequency=868000000
147;H=95;T=22;Hs=53.72283;sp=20;sf=7;rx_timestamp=396566314; rssi=-129; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=146; tx_frequency=868000000
151;H=49;T=35;Hs=55.04097;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=150; tx_frequency=868000000
155;H=61;T=31;Hs=54.47097;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=154; tx_frequency=868000000
159;H=60;T=31;Hs=53.97221;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=158; tx_frequency=868000000
163;H=57;T=33;Hs=54.75597;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=162; tx_frequency=868000000
167;H=56;T=33;Hs=54.72034;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=166; tx_frequency=868000000
171;H=46;T=38;Hs=55.14785;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=170; tx_frequency=868000000
175;H=47;T=38;Hs=55.18347;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=174; tx_frequency=868000000
179;H=52;T=36;Hs=55.2191;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=178; tx_frequency=868000000
183;H=51;T=36;Hs=55.11222;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=182; tx_frequency=868000000
187;H=49;T=36;Hs=55.18347;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=186; tx_frequency=868000000
191;H=50;T=34;Hs=55.96723;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=190; tx_frequency=868000000
195;H=40;T=39;Hs=55.57535;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=194; tx_frequency=868000000
199;H=52;T=34;Hs=55.43285;sp=20;sf=7;rx_timestamp=1067970911; rssi=-129; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=198; tx_frequency=868000000
203;H=46;T=35;Hs=56.71535;sp=20;sf=7;rx_timestamp=3101396769; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=202; tx_frequency=868000000
207;H=51;T=34;Hs=55.46847;sp=20;sf=7;rx_timestamp=3101396769; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=206; tx_frequency=868000000
211;H=54;T=32;Hs=55.14785;sp=20;sf=7;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=210; tx_frequency=868000000
215;H=63;T=29;Hs=54.7916;sp=20;sf=7;rx_timestamp=579562614; rssi=-129; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=214; tx_frequency=868000000
219;H=77;T=26;Hs=55.18347;sp=20;sf=7;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=218; tx_frequency=868000000
223;H=73;T=25;Hs=55.14785;sp=20;sf=7;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=222; tx_frequency=868000000
227;H=78;T=24;Hs=54.29284;sp=20;sf=7;rx_timestamp=2899788927; rssi=-130; snr=-12.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=226; tx_frequency=868000000
231;H=85;T=24;Hs=54.29284;sp=20;sf=7;rx_timestamp=2148897881; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=230; tx_frequency=868000000
235;H=90;T=24;Hs=54.07909;sp=20;sf=7;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=234; tx_frequency=868000000
239;H=94;T=24;Hs=54.72034;sp=20;sf=7;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=238; tx_frequency=868000000
243;H=95;T=24;Hs=54.07909;sp=20;sf=7;rx_timestamp=3385739397; rssi=-128; snr=-11.0; sfrx=7; sftx=12; tx_trials=0; tx_power=20; tx_time_on_air=2302; tx_counter=242; tx_frequency=868000000
